start_time,gate_width,centroid,mean,mean_error,area,area_error
0,74,1464,1463.73,0.018024,12250.7,132.185
0,76,630,630.132,0.184519,469.932,55.3887
0,76,834,834.002,0.0548245,3109.1,106.447
0,76,1464,1463.73,0.0180257,12248,132.183
0,78,630,630.115,0.17093,470.924,55.4697
0,78,834,833.999,0.0547085,3117.9,106.464
0,78,1464,1463.73,0.0180196,12253.7,132.207
0,80,630,630.116,0.161325,473.887,55.5527
0,80,834,834,0.0546293,3124.9,106.549
0,80,1464,1463.73,0.0180216,12255.6,132.243
0,82,630,630.123,0.159347,473.148,55.4842
0,82,834,834.001,0.0546951,3127.24,106.409
0,82,1464,1463.73,0.0180259,12257.6,132.265
0,84,630,630.12,0.159958,471.713,55.2763
0,84,834,834,0.0548263,3133.26,106.82
0,84,1464,1463.73,0.018021,12259.3,132.278
0,86,630,630.131,0.159346,473.434,55.7308
0,86,834,834.001,0.0548952,3133.46,106.816
0,86,1464,1463.73,0.0180225,12261.9,132.291
0,88,630,630.141,0.159554,475.025,55.802
0,88,834,834.001,0.0546883,3134.69,106.711
0,88,1464,1463.73,0.0180157,12264.9,132.318
0,90,630,630.142,0.159708,475.316,55.8351
0,90,834,834.005,0.054721,3138,106.977
0,90,1464,1463.73,0.0180234,12266.2,132.343
0,92,630,630.147,0.159319,478.714,55.9048
0,92,834,834.009,0.05467,3143.62,107.031
0,92,1464,1463.73,0.0180295,12270.4,132.38
0,94,630,630.149,0.15874,480.561,55.972
0,94,834,834.008,0.0546925,3140.95,106.965
0,94,1464,1463.73,0.0180312,12268.9,132.381
0,96,630,630.146,0.158956,478.521,55.9926
0,96,834,834.008,0.0545919,3142.13,106.903
0,96,1464,1463.73,0.0180214,12271.3,132.393
0,98,630,630.148,0.158481,480.8,56.071
0,98,834,834.009,0.0544991,3142.41,106.897
0,98,1464,1463.73,0.0180218,12270.8,132.399
0,100,630,630.137,0.159219,480.507,56.1324
0,100,834,834.011,0.0543995,3145.03,106.824
0,100,1464,1463.73,0.0180206,12272.3,132.416
0,102,630,630.137,0.159556,479.662,56.1619
0,102,834,834.01,0.0544736,3148.31,106.88
0,102,1464,1463.73,0.0180146,12276.2,132.433
0,104,630,630.14,0.159499,479.435,56.1873
0,104,834,834.009,0.0543152,3146.84,106.782
0,104,1464,1463.73,0.0180157,12280.9,132.462
0,106,630,630.13,0.160923,477.372,56.2273
0,106,834,834.009,0.0543996,3150.64,106.924
0,106,1464,1463.73,0.0180115,12284.1,132.488
0,108,630,630.121,0.287876,477.389,0
0,108,834,834.007,0.0547614,3150.34,106.75
0,108,1464,1463.73,0.0180131,12285.8,132.499
0,110,630,630.12,0.176398,474.541,56.2937
0,110,834,834.006,0.0543923,3150.37,106.785
0,110,1464,1463.73,0.0180179,12284.2,132.512
0,112,630,630.118,0.162846,474.181,56.2607
0,112,834,834.002,0.0545278,3157.14,106.958
0,112,1464,1463.73,0.0180187,12289.1,132.551
0,114,630,630.115,0.163334,473.608,55.9078
0,114,834,834.005,0.0544838,3159.15,106.953
0,114,1464,1463.73,0.0180183,12290.9,132.565
0,116,630,630.118,0.164576,474.302,56.1637
0,116,834,834.008,0.0541119,3165.49,106.835
0,116,1464,1463.73,0.0180142,12290.5,132.568
0,118,630,630.115,0.175404,471.912,56.1669
0,118,834,834.006,0.0544028,3163.07,107.264
0,118,1464,1463.73,0.0180208,12292.8,132.605
0,120,630,630.111,0.198357,472.815,56.3295
0,120,834,834.008,0.0543694,3165.4,107.302
0,120,1464,1463.73,0.0180165,12294.2,132.615
0,122,630,630.098,0.171492,475.585,56.3724
0,122,834,834.01,0.0543428,3164.15,107.266
0,122,1464,1463.73,0.0180172,12296.6,132.632
0,124,630,630.099,0.165444,474.758,56.3857
0,124,834,834.009,0.0544028,3166.77,107.372
0,124,1464,1463.73,0.0180121,12298.1,132.639
0,126,630,630.092,0.174995,474.607,56.3043
0,126,834,834.008,0.0543597,3167.14,107.357
0,126,1464,1463.73,0.0180128,12304.1,132.671
0,128,630,630.1,0.17422,473.588,56.4478
0,128,834,834.009,0.0544093,3168.31,107.449
0,128,1464,1463.73,0.0180115,12303.7,132.67
0,130,630,630.105,0.20289,474.1,56.4799
0,130,834,834.009,0.0544392,3167.9,107.496
0,130,1464,1463.73,0.0180097,12304.2,132.675
0,132,630,630.098,0.168244,473.383,56.376
0,132,834,834.011,0.0544415,3169.34,107.603
0,132,1464,1463.73,0.0180057,12303.5,132.676
0,134,630,630.104,0.16168,474.699,56.3894
0,134,834,834.009,0.0544524,3170.63,107.662
0,134,1464,1463.73,0.0180035,12308.3,132.701
0,136,630,630.112,0.158571,474.248,0
0,136,834,834.01,0.0544792,3171.59,107.701
0,136,1464,1463.73,0.018003,12310,132.709
0,138,630,630.112,0.162186,474.016,56.4873
0,138,834,834.009,0.0544452,3170.79,107.661
0,138,1464,1463.73,0.0180011,12309.7,132.708
0,140,630,630.113,0.174255,472.35,56.4272
0,140,834,834.008,0.0543451,3175.01,107.68
0,140,1464,1463.73,0.0179949,12309,132.709
0,142,630,630.119,0.163788,469.852,56.5461
0,142,834,834.009,0.0543526,3174.41,107.684
0,142,1464,1463.74,0.0180027,12312.7,132.753
0,144,630,630.119,0.163242,467.792,56.3808
0,144,834,834.009,0.0544191,3177.09,107.747
0,144,1464,1463.74,0.0180011,12316.1,132.766
0,146,630,630.116,0.159072,470.294,0
0,146,834,834.011,0.0543966,3180.2,107.84
0,146,1464,1463.73,0.0180002,12316.8,132.77
0,148,630,630.117,0.366113,469.242,0
0,148,834,834.011,0.0544977,3177.75,107.64
0,148,1464,1463.73,0.0179926,12319.2,132.778
0,150,630,630.116,0.159137,466.698,0
0,150,834,834.012,0.0544925,3176.4,107.888
0,150,1464,1463.73,0.017991,12321.1,132.792
0,152,630,630.12,0.164206,465.322,56.4727
0,152,834,834.013,0.0545248,3176.96,107.993
0,152,1464,1463.73,0.0179885,12321.6,132.793
0,154,630,630.12,0.152823,470.597,0
0,154,834,834.011,0.0545314,3176.36,108.017
0,154,1464,1463.74,0.0179885,12324.7,132.82
0,156,630,630.119,0.156427,469.489,0
0,156,834,834.012,0.0545547,3174.94,108.023
0,156,1464,1463.74,0.0179893,12327.3,132.836
0,158,630,630.12,0.144269,468.631,0
0,158,834,834.013,0.0545726,3175.18,108.051
0,158,1464,1463.74,0.0179876,12328.1,132.844
0,160,630,630.113,0.17691,468.212,56.6378
0,160,834,834.012,0.054634,3174.83,108.103
0,160,1464,1463.74,0.0179857,12329,132.863
0,162,630,630.11,0.162103,471.176,56.6433
0,162,834,834.01,0.0547413,3175.22,107.992
0,162,1464,1463.74,0.0179813,12327.6,132.86
0,164,630,630.11,0.165728,470.294,56.74
0,164,834,834.008,0.0547571,3176.05,107.979
0,164,1464,1463.74,0.0179814,12329.1,132.876
0,166,630,630.113,0.162988,468.32,56.7484
0,166,834,834.008,0.0546422,3177.4,108.19
0,166,1464,1463.74,0.0179807,12328,132.88
0,168,630,630.109,0.161834,468.112,56.0966
0,168,834,834.008,0.054676,3175.64,108.029
0,168,1464,1463.74,0.0179837,12328.9,132.892
0,170,630,630.114,0.16351,466.104,56.7768
0,170,834,834.009,0.0547245,3175.53,108.279
0,170,1464,1463.74,0.0179799,12331.6,132.901
0,172,630,630.114,0.177594,467.738,56.6717
0,172,834,834.009,0.0547749,3173.88,108.331
0,172,1464,1463.74,0.0179779,12331.6,132.906
0,174,630,630.116,0.161231,467.653,0
0,174,834,834.009,0.0547066,3174.37,108.327
0,174,1464,1463.74,0.0179783,12330.4,132.907
0,176,630,630.119,0.162846,468.806,56.8543
0,176,834,834.009,0.054739,3173.86,108.087
0,176,1464,1463.74,0.0179748,12331.8,132.913
0,178,630,630.12,0.163143,469.241,56.8752
0,178,834,834.01,0.0546429,3175.09,108.363
0,178,1464,1463.74,0.0179736,12333.1,132.92
0,180,630,630.121,0.163775,469.062,56.8989
0,180,834,834.01,0.0546363,3169.97,108.274
0,180,1464,1463.74,0.0179735,12332.1,132.917
0,182,630,630.119,0.164192,468.17,56.91
0,182,834,834.009,0.0546859,3168.45,108.234
0,182,1464,1463.74,0.0179739,12332.7,132.928
0,184,630,630.12,0.16346,469.031,56.933
0,184,834,834.008,0.0545882,3168.7,108.209
0,184,1464,1463.74,0.0179704,12334.9,132.944
0,186,630,630.118,0.163224,469.09,56.9442
0,186,834,834.008,0.0546578,3167.98,107.904
0,186,1464,1463.74,0.0179684,12335.9,132.948
0,188,630,630.118,0.163556,468.275,56.9411
0,188,834,834.007,0.0546048,3170.45,108.276
0,188,1464,1463.74,0.0179663,12340.2,132.972
0,190,630,630.115,0.164235,467.432,56.9575
0,190,834,834.007,0.0544668,3170,108.093
0,190,1464,1463.74,0.017963,12340,132.976
0,192,630,630.112,0.164674,467.057,56.9542
