start_time,gate_width,centroid,mean,mean_error,area,area_error
0,76,1464,1463.74,0.00299143,420403,564.989
0,78,630,629.846,0.0204017,33506.2,443.675
0,78,834,833.955,0.00872253,113581,604.551
0,78,1464,1463.74,0.00299166,420478,565.146
0,80,630,629.847,0.0215628,33518.8,444.643
0,80,834,833.955,0.00865373,113748,599.445
0,80,1464,1463.74,0.00299189,420541,565.299
0,82,630,629.848,0.0230944,33589.9,445.918
0,82,834,833.955,0.0087266,113874,599.998
0,82,1464,1463.74,0.00299226,420625,565.425
0,84,630,629.849,0.0225876,33673.1,446.467
0,84,834,833.954,0.00870278,114000,603.896
0,84,1464,1463.74,0.00299243,420701,565.523
0,86,630,629.848,0.0202691,33679.5,445.551
0,86,834,833.954,0.00866009,114148,601.764
0,86,1464,1463.74,0.00299274,420769,565.705
0,88,630,629.849,0.020375,33730.5,445.887
0,88,834,833.954,0.00903642,114289,601.269
0,88,1464,1463.74,0.00299295,420843,565.81
0,90,630,629.847,0.0219674,33787.7,447.266
0,90,834,833.953,0.00985998,114397,603.328
0,90,1464,1463.74,0.00299325,420910,565.929
0,92,630,629.848,0.0201777,33830.7,446.422
0,92,834,833.953,0.00865223,114543,603.195
0,92,1464,1463.74,0.00299346,420991,566.075
0,94,630,629.849,0.0203592,33843.5,447.013
0,94,834,833.953,0.00862464,114655,603.601
0,94,1464,1463.74,0.00299359,421059,566.162
0,96,630,629.849,0.0202384,33886,447.485
0,96,834,833.952,0.00850986,114766,603.993
0,96,1464,1463.74,0.00299367,421111,566.268
0,98,630,629.849,0.0293133,33932.1,448.71
0,98,834,833.953,0.0103916,114803,605.381
0,98,1464,1463.74,0.00299395,421208,566.362
0,100,630,629.848,0.0208185,33975.3,448.02
0,100,834,833.952,0.00864417,114899,604.294
0,100,1464,1463.74,0.00299415,421283,566.525
0,102,630,629.847,0.0204271,34000,448.325
0,102,834,833.951,0.00858247,114954,616.305
0,102,1464,1463.74,0.00299423,421343,566.593
0,104,630,629.846,0.021582,34018.4,449.954
0,104,834,833.951,0.00905831,114988,606.851
0,104,1464,1463.74,0.0029944,421404,566.785
0,106,630,629.844,0.0218035,34020.2,448.758
0,106,834,833.951,0.00865765,115060,605.093
0,106,1464,1463.74,0.00299463,421472,566.903
0,108,630,629.843,0.0205081,34015.9,449.591
0,108,834,833.95,0.00862777,115118,605.392
0,108,1464,1463.74,0.00299476,421527,567.001
0,110,630,629.843,0.0207077,34039.4,448.74
0,110,834,833.95,0.00862689,115188,605.786
0,110,1464,1463.74,0.00299496,421596,567.084
0,112,630,629.843,0.024028,34045.2,451.657
0,112,834,833.95,0.00955103,115248,604.984
0,112,1464,1463.74,0.00299513,421680,567.214
0,114,630,629.844,0.0252682,34059.9,453.241
0,114,834,833.95,0.00864061,115309,606.148
0,114,1464,1463.74,0.00299527,421746,567.334
0,116,630,629.846,0.0201114,34089.3,449.829
0,116,834,833.95,0.00859972,115372,605.384
0,116,1464,1463.74,0.00299552,421805,567.475
0,118,630,629.846,0.0201055,34135.4,450.123
0,118,834,833.949,0.00855837,115412,606.751
0,118,1464,1463.74,0.00299569,421875,567.538
0,120,630,629.844,0.0202914,34158.6,450.87
0,120,834,833.95,0.00897731,115458,605.916
0,120,1464,1463.74,0.00299582,421945,567.646
0,122,630,629.844,0.0204297,34189.5,451.372
0,122,834,833.95,0.00858786,115504,605.164
0,122,1464,1463.74,0.00299585,422004,567.763
0,124,630,629.845,0.0216035,34223,452.259
0,124,834,833.95,0.00866575,115572,606.468
0,124,1464,1463.74,0.00299595,422078,567.834
0,126,630,629.843,0.0204268,34212.2,451.971
0,126,834,833.95,0.0090139,115588,607.784
0,126,1464,1463.74,0.00299617,422149,567.907
0,128,630,629.843,0.0219868,34245.7,451.807
0,128,834,833.95,0.00863449,115617,607.678
0,128,1464,1463.74,0.00299625,422200,568.003
0,130,630,629.843,0.0237872,34263,451.898
0,130,834,833.95,0.00863471,115666,608.004
0,130,1464,1463.74,0.00299639,422276,568.125
0,132,630,629.844,0.0232356,34268.3,454.097
0,132,834,833.95,0.00859701,115697,608.275
0,132,1464,1463.74,0.00299646,422342,568.211
0,134,630,629.843,0.021621,34293.6,453.58
0,134,834,833.95,0.00881234,115730,608.505
0,134,1464,1463.74,0.00299657,422432,568.329
