angular_bin,compton_limit_ftb,compton_limit_btf,angle_diff_ftb,angle_diff_btf
0.0,3.1416240698245446e-05,3.141561237349095,1.4137308316125618e-05,2.5704196956688463e-05
0.3278950065721747,0.6818895043567084,2.7875944534012933,4.012612432269247e-06,1.3244945954615783e-05
0.4468391950955883,0.8874773834864156,2.7009484615553685,2.1547628145102138e-06,1.524653516732366e-05
0.4658283773572866,0.9179825532044696,2.6894187012190907,3.936297383544396e-06,2.287370745152062e-05
0.5575628828421085,1.0570936670165638,2.642074426486745,1.9069869722221355e-06,2.203193715055729e-05
0.5873731064661717,1.0995055919592756,2.6294450977260264,3.893292252810099e-06,2.394688904516773e-05
0.7742978693547643,1.3391800922466437,2.5767286458342706,3.7613424875848622e-06,7.846379226228439e-05
0.8167093701782265,1.388158011495301,2.5701312352876267,1.5079856114930124e-06,8.21335951221025e-05
0.8478111374487656,1.422998622429721,2.5663927026445283,1.3902809069210598e-05,2.7350834434169968e-05
0.8691390609081363,1.4464351379906566,2.56431923075844,9.303783390257614e-06,0.00014121692002733166
0.9395805495186275,1.5211429583712257,2.5600466220234708,9.604263548457226e-06,0.00019051839142514293
1.0498329983671093,1.6310055520931979,2.5604236169118506,1.1636179300111849e-06,6.292399647556124e-05
1.0944087074630444,1.6733232283138146,2.5626855862421287,4.606044035293522e-06,4.978713433168025e-05
1.1010584119131428,1.679543643972079,2.5631254136119046,6.213171139357598e-06,0.00018308644023834475
1.1347432664766335,1.710677138504099,2.565638712867769,1.1553802397035184e-05,0.00011322519175305246
1.1599632741679513,1.73364241045456,2.5679006821980472,2.903834680489936e-06,0.00016114975028447276
1.177329300225295,1.7492562820816175,2.569659991677152,1.3864443113353886e-05,6.479351177368642e-05
1.2193568286133185,1.7865159435498073,2.574403844022596,1.6962504018058766e-05,0.00012092837458643757
1.236740307963182,1.801721404047787,2.5766029808714777,5.268714284856202e-07,6.259172341982477e-05
1.2755564305275358,1.8352111166321798,2.581943741790189,1.0045683031201236e-05,1.9409571552886362e-05
1.333099935965789,1.8837806247517592,2.5908973703892064,1.52644954471981e-05,1.1222511985264916e-05
1.373033069251419,1.916830509966376,2.597777527102135,1.1079230600286039e-05,4.799367334706872e-05
1.4493737707336511,1.9786262554199419,2.6123232465454502,3.2227540116558373e-06,7.113507215361636e-05
1.5049625074096704,2.0225775761568703,2.6239786718445215,1.1453505435854439e-05,4.647058832651929e-05
1.5051370403348698,2.022734657360362,2.6240100880852197,1.4504461925080037e-05,1.7030795213646144e-05
1.5441626024094632,2.053114162115623,2.6326495542772537,5.429178247862154e-06,1.8836407834177393e-05
1.59743005118033,2.094018107504816,2.6450275531123855,1.2374359427802517e-05,5.680777190764097e-05
1.6364556132549233,2.1235807900019203,2.6544838415625756,1.3548509563143796e-06,6.229383189837456e-05
1.6366301461801227,2.123706454964714,2.654515257803274,6.442788451188619e-06,1.52986867483218e-05
1.692218882856142,2.1653015576492693,2.6684954849140192,1.7993160894569371e-06,5.117751736549714e-05
1.7685595843383741,2.221505212258537,2.688664711442331,6.673392868306038e-06,4.740631082822411e-05
1.8084927176240044,2.2505024024230726,2.699566146964643,1.0794611221998096e-05,3.2580620474176314e-05
1.8660362230622574,2.29187759142274,2.71574551092427,1.4957240554114293e-05,1.7256479125205004e-05
1.9048523456266113,2.3195238832372485,2.726898276372168,1.7771612482953003e-05,3.522903489261431e-05
1.9222358249764746,2.331839049590984,2.7319877073652936,2.081039665124962e-05,4.443763870343176e-05
1.9642633533644982,2.3614645645694856,2.744365706200426,1.6044368601697556e-05,4.859649421740109e-05
1.9816293794218418,2.373654065960428,2.7495808021563444,7.224498104196897e-07,4.112763459040991e-05
2.0068493871131596,2.391278576992177,2.7571521161646357,2.5422024179100333e-06,4.3352980493072124e-05
2.0405342416766503,2.4147150925531125,2.7674252268729815,1.4382419064151719e-05,1.1253881927686393e-05
2.047183946126749,2.4193018636950647,2.7694672825183715,2.0000078505333363e-05,2.0869172177917505e-05
2.0917596552226843,2.4501211958201017,2.7832590121849274,2.2521017933652132e-05,3.978707782215096e-05
2.2020121040711658,2.5254573410146373,2.8181310393600456,2.073205914943088e-06,4.6592306307324804e-05
2.272453592681657,2.5730843619132675,2.8409706463477136,1.6936283827817533e-05,8.083653830315285e-06
2.2937815161410278,2.5874101676716945,2.847945051782737,9.514472817606645e-06,3.8262470292593775e-05
2.3248832834115665,2.608270551495369,2.8581867462503845,9.243040520523493e-06,3.7687218610304996e-05
2.3672947842350287,2.63660800060524,2.872261222083225,1.787762331728615e-05,1.8891038310986374e-05
2.5542195471236218,2.7603251564751647,2.9354706983682144,4.080099758052569e-06,3.9864079270923725e-05
2.584029770747685,2.7798974744302085,2.945712392835862,5.516429002927481e-06,2.5982101959254322e-05
2.6757642762325067,2.839902494163971,2.97744279594115,2.2054126932680163e-05,7.924573763418152e-06
2.694753458494205,2.8523119092398015,2.984040206487794,1.2919241691999872e-05,6.952815914562649e-06
2.8136976470176185,2.9296586938390283,3.02563530917235,8.350546071511644e-06,4.88413532107046e-06
3.141592653589793,3.141592653589793,3.141592653589793,0.0,0.0
